index,start,end,duration,text,发言玩家,发言轮次,Uid,身份,阵营,player 1,player 2,player 3,player 4,player 5,player 6,player 7,player 8,player 9,player 10,player 11,player 12,,
,,,,第一夜,0,0,0_0,法官,,,,,,,,,,,,,,,
,,,,混人、刀人、救人、毒人，验人、开枪状态信息,0,0,0_0,法官,,,混七，好人混,首刀,,验11查杀,,救3,可开枪,刀3,刀3,刀3,刀3,,
,,,,上警信息,0,0,0_0,法官,,1,1,1,1,1,,1,1,1,1,,1,,
,,,,第一夜信息结束,0,0,,,,,,,,,,,,,,,,,
541,1272.97,1273.93,0.96,我是好人呀,10,1,10_1,狼人,,,,,,,,,,,,,,,
542,1273.93,1276.31,2.38,第一个发言嗯,10,1,10_1,狼人,,,,,,,,,,,,,,,
543,1277.24,1278.6,1.36,10号玩9号准备对吧,10,1,10_1,狼人,,,,,,,,,,,,,,,
544,1278.6,1280.02,1.42,9号我觉得有身份吧,10,1,10_1,狼人,,,,,,,,,,,,,,,
545,1280.02,1285.31,5.29,我自己开播看的是一号一号9号也都身份牌,10,1,10_1,狼人,,身份,,,,,,,,身份,,,,,
546,1285.31,1286.71,1.4,6号11号警下,10,1,10_1,狼人,,,,,,,好人,,,,,好人,,,
547,1286.71,1288.41,1.7,我其实觉得都挺像好人的两个人,10,1,10_1,狼人,,,,,,,,,,,,,,,
548,1288.41,1290.71,2.3,所以我觉得预言家应该是能吃到警徽的好吧,10,1,10_1,狼人,,,,,,,,,,,,,,,
549,1291.95,1294.31,2.36,嗯别的就没了呗,10,1,10_1,狼人,,,,,,,,,,,,,,,
550,1294.31,1294.91,0.6,听下发言呗,10,1,10_1,狼人,,,,,,,,,,,,,,,
551,1294.91,1295.31,0.4,好吧,10,1,10_1,狼人,,,,,,,,,,,,,,,
552,1295.31,1297.81,2.5,我就是觉得一号9号有身份好吧,10,1,10_1,狼人,,,,,,,,,,,,,,,
553,1297.81,1298.67,0.86,嗯就这样过了,10,1,10_1,狼人,,,,,,,,,,,,,,,
555,1303.82,1306.1,2.28,我验的三是金水,9,2,9_2,狼人,,,,金水,,,,,,跳预言家,,,,,
556,1306.74,1307.68,0.94,入夜前,9,2,9_2,狼人,,,,,,,,,,,,,,,
557,1307.68,1309.96,2.28,因为我觉得预女猎白混这个板子,9,2,9_2,狼人,,,,,,,,,,,,,,,
558,1309.96,1313.95,3.99,那作为预言家首验查杀的话会好打一点,9,2,9_2,狼人,,,,,,,,,,,,,,,
559,1313.95,1315.91,1.96,所以其实是奔着狼去验的,9,2,9_2,狼人,,,,,,,,,,,,,,,
560,1315.91,1319.56,3.65,3号玩家在入夜之前特意把眼镜摘下来了,9,2,9_2,狼人,,,,,,,,,,,,,,,
561,1319.56,1321.88,2.32,然后在我的抿牌理解里,9,2,9_2,狼人,,,,,,,,,,,,,,,
562,1321.88,1324.3,2.42,就是认为比较偏紧张的表现,9,2,9_2,狼人,,,,,,,,,,,,,,,
563,1324.3,1326.28,1.98,但是验出来是好人,9,2,9_2,狼人,,,,,,,,,,,,,,,
564,1326.98,1329.04,2.06,其实先置位我不太会去盘,9,2,9_2,狼人,,,,,,,,,,,,,,,
565,1329.04,1331.19,2.15,三是混子,9,2,9_2,狼人,,,,,,,,,,,,,,,
566,1331.19,1332.95,1.76,什么狼混这种小概率事件嘛,9,2,9_2,狼人,,,,,,,,,,,,,,,
567,1332.95,1334.59,1.64,就是就先当纯种好人,9,2,9_2,狼人,,,,,,,,,,,,,,,
568,1334.59,1336.49,1.9,因为我还没有听过三的发言嘛,9,2,9_2,狼人,,,,,,,,,,,,,,,
569,1336.49,1339.139,2.649,然后前置位10号上来说,9,2,9_2,狼人,,,,,,,,,,,,,,,
570,1339.139,1341.539,2.4,觉得一号9号有身份,9,2,9_2,狼人,,,,,,,,,,,,,,,
571,1341.539,1342.839,1.3,甚至直接给警下,9,2,9_2,狼人,,,,,,,,,,,,,,,
572,1342.839,1344.85,2.011,6号好人怎么说呢,9,2,9_2,狼人,,,,,,,,,,,,,,,
573,1344.85,1346.87,2.02,我其实不太知道10号是啥,9,2,9_2,狼人,,,,,,,,,,,,,,,
574,1346.87,1348.53,1.66,虽然他给了我好人身份,9,2,9_2,狼人,,,,,,,,,,,,,,,
575,1348.53,1352.05,3.52,他说看的说警下的六和我都比较像好人,9,2,9_2,狼人,,,,,,,,,,,,,,,
576,1352.05,1354.97,2.92,那我其实前置位没有听出来,9,2,9_2,狼人,,,,,,,,,,,,,,,
577,1354.97,1355.73,0.76,11定是好人,9,2,9_2,狼人,,,,,,,,,,,,,,,
578,1355.73,1357.47,1.74,就先警前先进验掉吧,9,2,9_2,狼人,,,,,,,,,,,,,,,
579,1357.47,1358.989,1.519,就把十先进验到,9,2,9_2,狼人,,,,,,,,,,,警徽流1,,,,
580,1358.989,1361.189,2.2,然后可以警下经验一下,9,2,9_2,狼人,,,,,,,,,,,,,,,
581,1361.189,1361.989,0.8,6号玩家,9,2,9_2,狼人,,,,,,,,,,,,,,,
582,1361.989,1362.869,0.88,虽然正常来说,9,2,9_2,狼人,,,,,,,,,,,,,,,
583,1362.869,1364.689,1.82,我们比如说看上票什么的,9,2,9_2,狼人,,,,,,,,,,,,,,,
584,1364.689,1367.71,3.021,大概率就能判断呃6号玩家身份,9,2,9_2,狼人,,,,,,,,,,,,,,,
585,1367.71,1371.83,4.12,但是首先警后置我都可以听发言,9,2,9_2,狼人,,,,,,,,,,,,,,,
586,1371.83,1374.9,3.07,其次是呃6号玩家倒钩的话,9,2,9_2,狼人,,,,,,,,,,,,,,,
587,1374.9,1376.78,1.88,其实我也不太一定能找到,9,2,9_2,狼人,,,,,,,,,,,,,,,
588,1376.78,1379.4,2.62,所以就索性就前置位我就先开验掉对吧,9,2,9_2,狼人,,,,,,,,,,,,,,,
589,1379.4,1380.5,1.1,就10、6顺验,9,2,9_2,狼人,,,,,,,警徽流2,,,,,,,,
590,1380.5,1381.82,1.32,我验的3号玩家金水,9,2,9_2,狼人,,,,,,,,,,,,,,,
592,1387.12,1388.44,1.32,谢谢大哥,8,3,8_3,猎人,,,,,,,,,,,,,,,
593,1388.44,1389.56,1.12,好可爱的透视,8,3,8_3,猎人,,,,,,,,,,,,,,,
594,1389.56,1390.76,1.2,就一个人起跳,8,3,8_3,猎人,,,,,,,,,,,,,,,
595,1390.76,1391.78,1.02,听听后面呗,8,3,8_3,猎人,,,,,,,,,,,,,,,
596,1391.78,1393.16,1.38,打个前高后放吧,8,3,8_3,猎人,,,,,,,,,,,,,,,
597,1393.16,1396.4,3.24,嗯力度在于发的警后金嘛,8,3,8_3,猎人,,,,,,,,,,,,,,,
