index,start,end,duration,text,发言玩家,发言轮次,Uid,身份,阵营,player 1,player 2,player 3,player 4,player 5,player 6,player 7,player 8,player 9,player 10,player 11,player 12
451,986.95,990.18,3.23,第一夜,0,0,,,,,,,,,,,,,,,
452,990.18,992.06,1.88,混人、刀人、救人、毒人，验人、开枪状态信息,0,0,,,,刀11,,可开枪,混6，狼混,刀11,刀11,刀11,救11,验12金水,,首刀,
453,992.06,993.68,1.62,上警信息,0,0,,,,,1,,1,1,1,1,1,1,,1,1
,,,,第一夜信息结束,0,0,,,,,,,,,,,,,,,
459,1013.66,1014.34,0.68,完了呀,2,1,,,,,,,,,,,,,,,
460,1014.34,1015.98,1.64,这预言家能拿到警徽吗,2,1,,,,,,,,,,,,,,,
461,1015.98,1016.94,0.96,我看了一、十,2,1,,,,,,,,,,,,,,,
462,1016.94,1018.72,1.78,我都没觉得一定是好人,2,1,,,,没觉得一定是好人,,,,,,,,,没觉得一定是好人,,
463,1018.72,1020.64,1.92,然后咳咳,2,1,,,,,,,,,,,,,,,
464,1020.64,1021.84,1.2,如果你们警下是好人,2,1,,,,,,,,,,,,,,,
465,1021.84,1023.12,1.28,反正我也不是起跳位对吧,2,1,,,,,,,,,,,,,,,
466,1023.12,1025.119,1.999,也不会打掉你们的票啊,2,1,,,,,,,,,,,,,,,
467,1025.119,1027.18,2.061,因为一号玩家从摸完牌到现在,2,1,,,,,,,,,,,,,,,
468,1027.18,1029.4,2.22,有非常多的一系列的表演,2,1,,,,,,,,,,,,,,,
469,1029.4,1030.16,0.76,非常多,2,1,,,,,,,,,,,,,,,
470,1030.16,1033,2.84,只是他自己一个人自己沉浸在自己的表演里,2,1,,,,,,,,,,,,,,,
471,1033,1033.56,0.56,不知道是不是,2,1,,,,,,,,,,,,,,,
472,1033.56,1035.359,1.799,反反正他旁边也12也看不到,2,1,,,,,,,,,,,,,,,
473,1035.359,1036.48,1.121,肯定是演给我看的嘛,2,1,,,,,,,,,,,,,,,
474,1036.48,1037.089,0.609,对不对,2,1,,,,,,,,,,,,,,,
475,1037.089,1038.869,1.78,从拿完牌哼,2,1,,,,,,,,,,,,,,,
476,1038.869,1040.29,1.421,然后上警啊,2,1,,,,,,,,,,,,,,,
477,1040.29,1041.65,1.36,数牌一共三张牌,2,1,,,,,,,,,,,,,,,
478,1041.65,1042.75,1.1,在警下还要数一遍,2,1,,,,,,,,,,,,,,,
479,1042.75,1045.119,2.369,还要数一遍非常多的戏份,2,1,,,,,,,,,,,,,,,
480,1045.119,1047.119,2,我不觉得一号玩家是平民好吧,2,1,,,,没觉得是平民,,,,,,,,,,,
481,1047.119,1048.56,1.441,其他还有什么呃,2,1,,,,,,,,,,,,,,,
482,1048.56,1049.84,1.28,然后你们就起跳吧,2,1,,,,,,,,,,,,,,,
483,1049.84,1051.42,1.58,我底牌是好人牌,2,1,,,,,,,,,,,,,,,
484,1051.42,1054.23,2.81,然后嗯啊还有4号玩家的发言,2,1,,,,,,,关注发言,,,,,,,,
485,1054.23,1055.51,1.28,我也会关注一下好吧,2,1,,,,,,,,,,,,,,,
486,1055.51,1056.03,0.52,其他没了,2,1,,,,,,,,,,,,,,,
488,1059.64,1060.48,0.84,我是一个好人,12,2,,,,,,,,,,,,,,,
489,1060.48,1061.56,1.08,我听完二的聊天,12,2,,,,,还行,,,,,,,,,,
490,1061.56,1062.84,1.28,我觉得其实还行,12,2,,,,,,,,,,,,,,,
491,1062.84,1065.6,2.76,那我虽然不知道他踩的一号10号是不是狼,12,2,,,,,,,,,,,,,,,
492,1065.6,1066.76,1.16,但我觉得他是狼,12,2,,,,,,,,,,,,,,,
493,1066.76,1070.15,3.39,这样踩好像不太像一个就是所谓的工作量嘛,12,2,,,,,,,关注发言,,,,,,,,
494,1070.15,1071.96,1.81,而且我也想听四聊天,12,2,,,,,,,,,,,,,,,
495,1071.96,1074.96,3,其实四刚才那表情像在自己准备稿子一样,12,2,,,,,,,,,,,,,,,
496,1074.96,1075.58,0.62,你知道吗,12,2,,,,,,,,,,,,,,,
497,1075.58,1076.76,1.18,就是二在发言的时候,12,2,,,,,,,,,,,,,,,
498,1076.76,1077.9,1.14,他怎不是,12,2,,,,,,,,,,,,,,,
499,1077.9,1079.56,1.66,我不知道你在自言自怨,12,2,,,,,,,,,,,,,,,
500,1079.56,1080.58,1.02,自言自语点是什么,12,2,,,,,,,,,,,,,,,
501,1080.58,1080.94,0.36,你知道吗,12,2,,,,,,,,,,,,,,,
502,1080.94,1082.44,1.5,4号听4号聊天吧,12,2,,,,,,,,,,,,,,,
503,1082.44,1083.68,1.24,2号觉得还好,12,2,,,,,,,,,,,,,,,
504,1083.68,1084.82,1.14,我是一个好人,12,2,,,,,,,,,,,,,,,
505,1084.82,1086.52,1.7,但希望这把可以搞对吧,12,2,,,,,,,,,,,,,,,
506,1086.52,1087.3,0.78,好吗,12,2,,,,,,,,,,,,,,,
507,1087.3,1093.04,5.74,嗯好人加油,12,2,,,,,,,,,,,,,,,
508,1093.18,1095.9,2.72,我也觉得2号还可以吧,11,3,,,,,还行,,,,,,,,,,
509,1095.9,1099.22,3.32,主要是本身我自己看2号拿牌的时候,11,3,,,,,,,,,,,,,,,
510,1099.22,1100.78,1.56,没看出来一定是狼或者好人,11,3,,,,,,,,,,,,,,,
511,1100.78,1103.64,2.86,但是2号点点击10号玩家的时候,11,3,,,,,,,,,,,,,,,
512,1103.64,1104.9,1.26,就10号的表情反馈,11,3,,,,,,,,,,,,,质疑,,
