index,start,end,duration,text,发言玩家,发言轮次,Uid,身份,阵营,player 1,player 2,player 3,player 4,player 5,player 6,player 7,player 8,player 9,player 10,player 11,player 12
492,1018.6,1019.28,0.68,第一夜,0,0,,,,,,,,,,,,,,,
493,1019.28,1021.32,2.04,混人、刀人、救人、毒人，验人、开枪状态信息,0,0,,,,,验9，金水,首刀，自刀,,,混7，好人混,,刀3,,刀3,刀3,救3
494,1021.32,1022.92,1.6,上警信息,0,0,,,,1,1,1,1,,1,,1,1,1,,1
,,,,第一夜信息结束,0,,,,,,,,,,,,,,,,
499,1042.839,1044.039,1.2,反正小师赛呢,6,1,,,,,,,,,,,,,,,
500,1044.039,1046.799,2.76,我是让那个工作人员是买了个新的骰子啊,6,1,,,,,,,,,,,,,,,
501,1046.799,1049.119,2.32,我不知道那个辉少会不会选择大人赛,6,1,,,,,,,,,,,,,,,
502,1049.119,1050.3,1.181,重新买一个,6,1,,,,,,,,,跳预言家,,,,验10，查杀,,
503,1050.3,1052.08,1.78,然后验了10号玩家是个狼啊,6,1,,,,,,,,,,,,,,,
504,1052.08,1053.9,1.82,奔着金水验的也开牌,6,1,,,,,,,,,,,,,,,
505,1053.9,1056.18,2.28,10号玩家的确是对着我笑了一下,6,1,,,,,,,,,,,,,,,
506,1056.18,1059.42,3.24,我说反正看起来当时觉得是挺挺挺轻松,6,1,,,,,,,,,,,,,,,
507,1059.42,1060.4,0.98,状态挺轻松的,6,1,,,,,,,,,,,,,,,
508,1060.4,1061.58,1.18,所以的确是奔着好人验的,6,1,,,,,,,,,,,,,,,
509,1061.58,1063.01,1.43,但验出来是个狼,6,1,,,,,,,,,,,,,,,
510,1063.01,1064.91,1.9,那没办法对吧,6,1,,,,,,,,,,,,,,,
511,1064.91,1066.81,1.9,然后警徽流警下五七十一,6,1,,,,,,,,,,,,,,,
512,1066.81,1068.05,1.24,我就验个11号玩家呗,6,1,,,,,,,,,,,,,,警徽流1,
513,1068.05,1069.59,1.54,11号玩家属于牌还没发呢,6,1,,,,,,,,,,,,,,,
514,1069.59,1070.25,0.66,还没充呢,6,1,,,,,,,,,,,,,,,
515,1070.25,1073,2.75,咱们那个呃就是自我介绍环节,6,1,,,,,,,,,,,,,,,
516,1073,1074.84,1.84,就已经对我比了个狼的姿势了,6,1,,,,,,,,,,,,,,,
517,1075.96,1078.88,2.92,希望本局如果你是好人嗯,6,1,,,,,,警徽流2,,,,,,警徽流3,,,
518,1078.88,1081.22,2.34,不要对我带有成见,6,1,,,,,,,,,,,,,,,
519,1081.22,1083.3,2.08,我觉得你对我防守性非常之重,6,1,,,,,,,,,,,,,,,
520,1083.3,1085.6,2.3,因为那次有一次我拿了个呃,6,1,,,,,,,,,,,,,,,
521,1085.6,1086.32,0.72,吃了个预言家,6,1,,,,,,,,,,,,,,,
522,1086.32,1088.76,2.44,那个金水的混子嘛对吧,6,1,,,,,,,,,,,,,,,
523,1088.76,1089.32,0.56,被你毒了,6,1,,,,,,,,,,,,,,,
524,1089.32,1090.54,1.22,所以我印象比较深,6,1,,,,,,,,,,,,,,,
525,1090.54,1092.9,2.36,然后我就验下11警下五跟七,6,1,,,,,,,,,,,,,,,
526,1092.9,1093.88,0.98,我就看投票呗,6,1,,,,,,,,,,,,,,,
527,1093.88,1095.1,1.22,五跟七看投票呗,6,1,,,,,,,,,,,,,,,
528,1095.1,1097,1.9,假设10号像不远地起跳的话,6,1,,,,,,,,,,,,,,,
529,1097,1098.9,1.9,我就警上压两张五呃,6,1,,,,,,,,,,,,,,,
530,1098.9,1103.01,4.11,十一三十一三十一十139好吧,6,1,,,,,,,,,,,,,,,
531,1103.01,1105.21,2.2,十139的警徽流啊,6,1,,,,,,,,,,,,,,,
532,1105.21,1107.39,2.18,也有可能他不起不原地起跳,6,1,,,,,,,,,,,,,,,
533,1107.39,1108.81,1.42,比如三九里面有一张牌跳,6,1,,,,,,,,,,,,,,,
534,1108.81,1109.41,0.6,这说不准,6,1,,,,,,,,,,,,,,,
535,1109.41,1112.65,3.24,所以我就严谨点加三张好验了,6,1,,,,,,,,,,,,,,,
536,1112.65,1115.12,2.47,12是个狼呃,6,1,,,,,,,,,,,,,,,
537,1115.12,1117.08,1.96,其他好像没有什么太多说的,6,1,,,,,,,,,,,,,,,
539,1121.62,1122.92,1.3,警徽流10号啊,4,2,,,,,,,跳预言家,,,,,,警徽流1,,
540,1122.92,1124.18,1.26,我验的八金水,4,2,,,,,,,,,,,验8，金水,,,,
541,1124.18,1125.96,1.78,我看了2号八号都不是平民,4,2,,,,,,,,,,,,,,,
542,1125.96,1128.59,2.63,然后二八里面选验的一个嗯,4,2,,,,,,,,,,,,,,,
543,1128.59,1130.55,1.96,为什么验10号,4,2,,,,,,,,,,,,,,,
544,1130.55,1133.11,2.56,因为这个夜间实在是太长了啊,4,2,,,,,,,,,,,,,,,
545,1133.11,1135.74,2.63,我觉得可能这个事情没有那么的简单,4,2,,,,,,,,,,,,,,,
546,1135.74,1138.98,3.24,10号玩家拿狼在粤小的那个桌子上,4,2,,,,,,,,,,,,,,,
547,1138.98,1141.4,2.42,反正是十把勾九把对吧,4,2,,,,,,,,,,,,,,,
548,1141.4,1144.48,3.08,那很有可能有一个这么反向的,4,2,,,,,,,,,,,,,,,
549,1144.48,1146.48,2,这种做身份的意识,4,2,,,,,,,,,,,,,,,
550,1146.48,1148.4,1.92,我没觉得六是混子啊,4,2,,,,,,,,,,,,,,,
551,1148.4,1150.69,2.29,六肯定是悍跳啊,4,2,,,,,,,,,悍跳,,,,,,
552,1150.69,1152.85,2.16,所以那个先留个10号吧,4,2,,,,,,,,,,,,警徽流2,,,
553,1152.85,1155.25,2.4,留个10号留个留个10号,4,2,,,,,,,,,,,,,,,
554,1155.25,1157.62,2.37,留个9号吧啊10号九号顺眼,4,2,,,,,,,,,,,,,,,
555,1157.62,1159.86,2.24,警徽警徽比较危险,4,2,,,,,,,,,,,,,,,
556,1159.86,1162.38,2.52,我感觉这个警徽可能是比较危险了,4,2,,,,,,,,,,,,,,,
557,1162.38,1165.9,3.52,啧井下我感觉这三个人里面就一个好人啊,4,2,,,,,,,,,,,,,,,
558,1165.9,1167.679,1.779,就一个好人啊,4,2,,,,,,,,,,,,,,,
559,1167.679,1169.239,1.56,其他没有什么太多的分析了好吧,4,2,,,,,,,,,,,,,,,
560,1169.239,1170.759,1.52,后置位开始依次交边啊,4,2,,,,,,,,,,,,,,,
561,1170.759,1171.759,1,依次交边啊,4,2,,,,,,,,,,,,,,,
562,1171.759,1172.559,0.8,不要说再听听,4,2,,,,,,,,,,,,,,,
563,1172.559,1174.519,1.96,不要说不知道把边教的明确一点啊,4,2,,,,,,,,,,,,,,,
565,1180.06,1181.16,1.1,灿发言啊,3,3,,,,,,,,,,,,,,,
566,1181.16,1183.47,2.31,我是好人牌啊,3,3,,,,,,,,,,,,,,,
567,1183.47,1185.79,2.32,这个现在这个交边,3,3,,,,,,,,,,,,,,,
568,1185.79,1189.39,3.6,主要是得取决于10号是什么身份对吧,3,3,,,,,,,,,,,,,,,
569,1189.39,1190.77,1.38,我现在就交边,3,3,,,,,,,,,,,,,,,
570,1190.77,1192.719,1.949,万一我站错边多丑陋啊,3,3,,,,,,,,,,,,,,,
571,1192.719,1196.099,3.38,所以我这个位置得听听人家10号牌是什么身份,3,3,,,,,,,,,,,,,,,
572,1196.099,1199.149,3.05,万一人是破平民就再说了,3,3,,,,,,,,,,,,,,,
573,1199.149,1200.489,1.34,那要不万一人是女巫,3,3,,,,,,,,,,,,,,,
574,1200.489,1201.309,0.82,我肯定占你,3,3,,,,,,,,,,,,,,,
575,1201.309,1202.309,1,绝对占你,3,3,,,,,,,,,,,,,,,
576,1203.25,1204.75,1.5,你跟六打,3,3,,,,,,,,,,,,,,,
577,1204.75,1206.69,1.94,你如沐春风狼啊,3,3,,,,,,,,,,,,,,,
578,1206.69,1208.01,1.32,那能打过吗,3,3,,,,,,,,,,,,,,,
579,1208.01,1209.05,1.04,我听听吧,3,3,,,,,,,,,,,,,,,
580,1209.05,1212.09,3.04,我看看我看看我这位置主要是这个位置,3,3,,,,,,,,,,,,,,,
581,1212.09,1213.93,1.84,现在马上就交边,3,3,,,,,,,,,,,,,,,
582,1213.93,1214.45,0.52,我属实,3,3,,,,,,,,,,,,,,,
583,1214.45,1215.87,1.42,有点现在有点懵了,3,3,,,,,,,,,,,,,,,
584,1215.87,1217.67,1.8,嗯这个我没想到,3,3,,,,,,,,,,,,,,,
585,1217.67,1219.53,1.86,我以为警上我先发言,3,3,,,,,,,,,,,,,,,
586,1219.53,1221.33,1.8,应该不会有沾边的可能性,3,3,,,,,,,,,,,,,,,
587,1221.33,1223.27,1.94,没想到这个四六起来了,3,3,,,,,,,,,,,,,,,
588,1223.27,1224.99,1.72,这个位置46起来,3,3,,,,,,,,,,,,,,,
589,1224.99,1227.17,2.18,现在确实是着着实分不清楚,3,3,,,,,,,,,,,,,,,
590,1227.17,1230.53,3.36,也不知道这是是什么什么混子呀,3,3,,,,,,,,,,,,,,,
591,1230.53,1231.71,1.18,什么预言家呀,3,3,,,,,,,,,,,,,,,
592,1231.71,1232.61,0.9,什么这种情况,3,3,,,,,,,,,,,,,,,
593,1232.61,1234.37,1.76,所以我就打算先过麦了,3,3,,,,,,,,,,,,,,,
594,1234.37,1235.17,0.8,再再听一听,3,3,,,,,,,,,,,,,,,
595,1235.17,1236.27,1.1,我过了啊,3,3,,,,,,,,,,,,,,,
597,1239.25,1239.87,0.62,嘶,2,4,,,,,跳预言家,,,,,,,,,,
598,1239.87,1241.49,1.62,四说一次交边,2,4,,,,,,,,,,,,,,,
599,1241.49,1242.65,1.16,我肯定交我自己,2,4,,,,,,,,,,,,,,,
600,1242.65,1244.83,2.18,因为我验了9号玩家是个金水啊,2,4,,,,,,,,,,,,验9，金水,,,
601,1244.83,1247.49,2.66,警徽流就51顺验7号玩家,2,4,,,,,,,,警徽流1,,,,,,警徽流2,
602,1247.49,1249.56,2.07,虽然5号玩家也可以看上票嘛,2,4,,,,,,,,,,,,,,,
603,1249.56,1251.88,2.32,然后我不希望7号玩家一会一投,2,4,,,,,,,,,,,,,,,
604,1251.88,1253.639,1.759,又是投在四六里的牌,2,4,,,,,,,,,,,,,,,
605,1253.639,1255.439,1.8,就是有点伤感情了,2,4,,,,,,,,,,,,,,,
606,1255.439,1258.839,3.4,这就是然后验了九是个金水啊,2,4,,,,,,,,,,,,,,,
607,1258.839,1262.52,3.681,然后那个6号玩家呢给十发的是查杀,2,4,,,,,,,,,,,,,,,
608,1262.52,1265.52,3,然后但是我觉得6号玩家开口的时候,2,4,,,,,,,,,,,,,,,
609,1265.52,1269.13,3.61,又没有那么想要去起跳的感觉,2,4,,,,,,,,,,,,,,,
610,1269.13,1271.27,2.14,我不是很想认真跳,2,4,,,,,,,,,,,,,,,
611,1271.27,1272.89,1.62,我觉得发言没有可能是,2,4,,,,,,,,,,,,,,,
612,1272.89,1274.45,1.56,因为第一个发言没有那么完整,2,4,,,,,,,,,,,,,,,
613,1274.45,1275.33,0.88,所以我会看一下,2,4,,,,,,,,,,,,,,,
614,1275.33,1278.48,3.15,因为4号玩家平时玉女猎白混的板子,2,4,,,,,,,,,,,,,,,
615,1278.48,1282.12,3.64,大多数他都会选择先去发一个身份定义对吧,2,4,,,,,,,,,,,,,,,
616,1282.12,1285.559,3.439,所以我会先看一下四六是哪张牌退水,2,4,,,,,,,,,,,,,,,
617,1285.559,1287.8,2.241,我不相信四六是两张平民牌,2,4,,,,,,,不是平民,,不是平民,,,,,,
618,1287.8,1289.48,1.68,你说在前面做什么,2,4,,,,,,,,,,,,,,,
619,1289.48,1290.96,1.48,肯定是有狼人的啊,2,4,,,,,,,,,,,,,,,
620,1290.96,1292.46,1.5,所以我看一下嗯,2,4,,,,,,,,,,,,,,,
621,1292.46,1294.86,2.4,但是因为六毕竟问十要了身份,2,4,,,,,,,,,不太好,,,,,,
622,1294.86,1296.54,1.68,所以肯定也不太好嘛对吧,2,4,,,,,,,,,,,,,,,
623,1296.54,1299.62,3.08,所以我先看看他俩肯定会有一张牌退水的,2,4,,,,,,,,,,,,,,,
624,1299.62,1301.06,1.44,然后我验了九是个金水,2,4,,,,,,,,,,,,,,,
625,1301.06,1302.42,1.36,就五和11验,2,4,,,,,,,,,,,,,,,
626,1302.42,1303.72,1.3,你看因为一号玩家,2,4,,,,,,,,,,,,,,,
627,1303.72,1306,2.28,包括12号玩家后面都可以交边的,2,4,,,,,,,,,,,,,,,
628,1306,1307.52,1.52,然后七也可以看投票,2,4,,,,,,,,,,,,,,,
629,1307.52,1309.14,1.62,3号玩家呢就划过,2,4,,,,,,,,,,,,,,,
630,1309.14,1311.32,2.18,他没有给四六里身份定义,2,4,,,,,,,,,,,,,,,
631,1311.32,1313.34,2.02,所以我警徽流就压警下了,2,4,,,,,,,,,,,,,,,
632,1313.34,1316.1,2.76,四呢是给8号玩家发的金水嘛对吗,2,4,,,,,,,,,,,,,,,
633,1316.1,1317.42,1.32,如果8号玩家是独立的好人,2,4,,,,,,,,,,,,,,,
634,1317.42,1318.84,1.42,你也可以独立的参考,2,4,,,,,,,,,,,,,,,
635,1318.84,1320.62,1.78,因为你们也没有什么羁绊对吧,2,4,,,,,,,,,,,,,,,
636,1320.62,1322.16,1.54,除非你底牌是狼人啊,2,4,,,,,,,,,,,,,,,
637,1322.16,1323.51,1.35,我警上大概是这样,2,4,,,,,,,,,,,,,,,
638,1323.51,1326.67,3.16,然后10号玩家你愿意给10号六号玩家交的话,2,4,,,,,,,,,,,,,,,
639,1326.67,1327.19,0.52,也可以交,2,4,,,,,,,,,,,,,,,
640,1327.19,1329.4,2.21,就怕你交完他直接退水了哦,2,4,,,,,,,,,,,,,,,
641,1329.4,1331.24,1.84,所以你可以把自己的言发好,2,4,,,,,,,,,,,,,,,
642,1331.24,1333,1.76,因为本局游戏我是预言家啊,2,4,,,,,,,,,,,,,,,
643,1333,1335.19,2.19,九金水51顺验过了,2,4,,,,,,,,,,,,,,,
645,1339.24,1340.8,1.56,让依次交边,1,5,,,,,,,,,,,,,,,
646,1340.8,1342.26,1.46,不是让依次起跳,1,5,,,,,,,,,,,,,,,
647,1343.78,1345.04,1.26,两个就很难分了,1,5,,,,,,,,,,,,,,,
648,1345.04,1348.23,3.19,这一下三个更是让人一筹莫展,1,5,,,,,,,,,,,,,,,
649,1348.73,1350.33,1.6,3号玩家感觉听着像混子,1,5,,,,,,混子,,,,,,,,,
650,1351.33,1352.49,1.16,想看一下大哥的表态,1,5,,,,,,,,,,,,,,,
651,1352.49,1353.59,1.1,选择站哪个边,1,5,,,,,,,,,,,,,,,
652,1353.59,1354.93,1.34,因为3号玩家拿了牌以后,1,5,,,,,,,,,,,,,,,
653,1354.93,1357.019,2.089,我觉得是张有身份的牌嗯,1,5,,,,,,,,,,,,,,,
654,1357.019,1358.759,1.74,我本来单听462张牌,1,5,,,,,,,,,,,,,,,
655,1358.759,1360.179,1.42,我觉得六像四不像,1,5,,,,,,,不像预言家,,像预言家,,,,,,
656,1360.179,1363.66,3.481,然后我觉得四在开拍之前,1,5,,,,,,,,,,,,,,,
657,1363.66,1364.74,1.08,我觉得他是有身份的,1,5,,,,,,,,,,,,,,,
658,1364.74,1365.88,1.14,不是很像好人牌,1,5,,,,,,,,,,,,,,,
659,1365.88,1367.54,1.66,但是2号牌的判断在前置位,1,5,,,,,,,,,,,,,,,
660,1367.54,1368.3,0.76,两张牌起跳之后,1,5,,,,,,,,,,,,,,,
661,1368.3,1369.62,1.32,他能把六摘掉,1,5,,,,,,,,,,,,,,,
662,1369.62,1371.06,1.44,说六是张好人,1,5,,,,,,,,,,,,,,,
663,1371.06,1373.18,2.12,那我是认可六可能是张好人,1,5,,,,,,,,,,,,,,,
664,1373.18,1375.38,2.2,那看六最后退不退水嘛对吧,1,5,,,,,,,,,,,,,,,
665,1375.38,1376.72,1.34,六是给十发查杀的,1,5,,,,,,,,,,,,,,,
666,1376.72,1377.76,1.04,4号牌,1,5,,,,,,,,,,,,,,,
667,1377.76,1379.72,1.96,我说实话我听完到最后,1,5,,,,,,,,,,,,,,,
668,1379.72,1381.92,2.2,我甚至都忘了他验的是谁了,1,5,,,,,,,,,,,,,,,
669,1381.92,1384.96,3.04,就他表达的过于潦草嗯,1,5,,,,,,,,,,,,,,,
670,1384.96,1388.02,3.06,然后警徽流留的也觉得一般,1,5,,,,,,,,,,,,,,,
671,1388.02,1390.73,2.71,然后当时6号牌说的嗯,1,5,,,,,,,,,,,,,,,
672,1390.73,1391.97,1.24,发言很完整,1,5,,,,,,,,,,,,,,,
673,1391.97,1393.45,1.48,说十一十号是查杀,1,5,,,,,,,,,,,,,,,
674,1393.45,1398.61,5.16,然后警徽流第一张留警下的11号有理有据,1,5,,,,,,,,,,,,,,,
675,1398.61,1400.07,1.46,因为五七可以看投票,1,5,,,,,,,,,,,,,,,
676,1400.07,1402.29,2.22,11号在警下留警徽流,1,5,,,,,,,,,,,,,,,
677,1402.29,1403.31,1.02,我觉得非常合理,1,5,,,,,,,,,,,,,,,
678,1403.31,1406.02,2.71,然后紧接着留的是补了一张三九,1,5,,,,,,,,,,,,,,,
679,1406.02,1408.3,2.28,然后我观察了下三九的表情反馈,1,5,,,,,,,,,,,,,,,
680,1408.3,1409.76,1.46,我觉得九有点像狼,1,5,,,,,,表情微妙,,,,,,像狼,,,
681,1409.76,1411.64,1.88,然后3号的表情也很微妙,1,5,,,,,,,,,,,,,,,
682,1411.64,1413.15,1.51,所以我觉得这个,1,5,,,,,,,,,,,,,,,
683,1413.15,1416.39,3.24,当时我甚至判断6号牌是不是直接点到了三九,1,5,,,,,,,,,,,,,,,
684,1416.39,1418.09,1.7,十十一四张牌,1,5,,,,,,,,,,,,,,,
685,1418.09,1420.69,2.6,所以当时我对6号的认可度非常高啊,1,5,,,,,,,,,认可度高,,,,,,
686,1420.69,1424.48,3.79,然后4号牌呢我当时认为是张起跳牌嗯,1,5,,,,,,,,,,,,,,,
687,1425.52,1426.76,1.24,我有两个基点去判断,1,5,,,,,,,,,,,,,,,
688,1426.76,1428.36,1.6,我觉得4号牌是张狼人牌,1,5,,,,,,,狼人,,,,,,,,
689,1428.36,1429.48,1.12,我还没有聊二啊,1,5,,,,,,,,,,,,,,,
